排名,电影名,电影详情,电影评分,评价人数,点评
89,大鱼/BigFish/大鱼奇缘(港)/大智若鱼(台),导演:蒂姆·波顿TimBurton主演:伊万·麦克格雷格EwanMcGregor/阿...2003/美国/剧情家庭奇幻冒险,8.7,270977,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
90,狩猎/Jagten/谎言的烙印(台)/诬网(港),导演:托马斯·温特伯格ThomasVinterberg主演:麦斯·米科尔森MadsMik...2012/丹麦瑞典/剧情,9.0,142058,人言可畏。
91,哈利·波特与魔法石/HarryPotterandtheSorcerer'sStone/哈利波特1：神秘的魔法石(港/台),导演:ChrisColumbus主演:DanielRadcliffe/EmmaWatson/RupertGrint2001/美国英国/奇幻冒险,8.7,283705,童话世界的开端。
92,射雕英雄传之东成西就/射鵰英雄傳之東成西就/东成西就/大英雄(日本),导演:刘镇伟JeffreyLau主演:梁朝伟TonyLeungChiuWai/林青霞Bri...1993/香港/喜剧古装,8.7,296178,百看不厌。
93,致命ID/Identity/杀人游戏/致命身份,导演:JamesMangold主演:JohnCusack/RayLiotta/AmandaPeet2003/美国/剧情悬疑惊悚,8.6,343371,最不可能的那个人永远是最可能的。
94,甜蜜蜜/Comrades:AlmostaLoveStory,导演:陈可辛PeterChan主演:黎明LeonLai/张曼玉MaggieCheung/...1996/香港/剧情爱情,8.8,247600,相逢只要一瞬间，等待却像是一辈子。
95,断背山/BrokebackMountain/断臂山,导演:李安AngLee主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...2005/美国加拿大/剧情爱情同性家庭,8.6,343661,每个人心中都有一座断背山。
96,猫鼠游戏/CatchMeIfYouCan/逍遥法外/神鬼交锋(台),导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...2002/美国加拿大/传记犯罪剧情,8.7,250612,骗子大师和执著警探的你追我跑故事。
97,一一/Yiyi/Yiyi:AOneandaTwo,导演:杨德昌EdwardYang主演:吴念真/李凯莉KellyLee/金燕玲Elai...2000/台湾日本/剧情爱情家庭,8.9,166553,我们都曾经是一一。
98,告白/自白/母亲,导演:中岛哲也TetsuyaNakashima主演:松隆子TakakoMatsu/冈田将生...2010/日本/剧情惊悚,8.7,366891,没有一人完全善，也没有一人完全恶。
99,阳光姐妹淘/써니/阳光姊妹淘(港)/桑尼,导演:姜炯哲Hyeong-CheolKang主演:沈恩京Eun-kyungShim/闵孝琳Hy...2011/韩国/剧情喜剧,8.8,288649,再多各自牛逼的时光，也比不上一起傻逼的岁月。
100,加勒比海盗/PiratesoftheCaribbean:TheCurseoftheBlackPearl/加勒比海盗1：黑珍珠号的诅咒/神鬼奇航：鬼盗船魔咒(台),导演:戈尔·维宾斯基GoreVerbinski主演:约翰尼·德普JohnnyDepp/...2003/美国/动作冒险奇幻,8.6,372068,约翰尼·德普的独角戏。
101,上帝之城/CidadedeDeus/无主之城(港)/无法无天(台),导演:KátiaLund/FernandoMeirelles主演:AlexandreRodrigues/Lea...2002/巴西法国/犯罪剧情,8.9,166570,被上帝抛弃了的上帝之城。
102,"摩登时代/ModernTimes/TheMasses/Tempsmodernes,Les",导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...1936/美国/喜剧剧情爱情,9.2,97308,大时代中的人生，小人物的悲喜。
103,穿条纹睡衣的男孩/TheBoyintheStripedPajamas/穿条纹衣服的男孩/穿条纹衣的男孩,导演:马克·赫门MarkHerman主演:阿沙·巴特菲尔德AsaButterfield/...2008/英国美国/剧情战争,8.9,161412,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
104,阿凡达/Avatar/天神下凡(港)/化身,导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...2009/美国英国/动作战争科幻冒险,8.6,564066,绝对意义上的美轮美奂。
105,爱在黎明破晓前/BeforeSunrise/情留半天(港)/爱在黎明破晓时(台),导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...1995/美国奥地利瑞士/剧情爱情,8.7,237154,缘分是个连绵词，最美不过一瞬。
106,消失的爱人/GoneGirl/失踪的女孩/失踪女孩,导演:大卫·芬奇DavidFincher主演:本·阿弗莱克BenAffleck/罗莎蒙...2014/美国/剧情犯罪悬疑惊悚,8.7,384029,年度最佳date movie。
107,风之谷/風の谷のナウシカ/风谷少女/KazenotaninoNaushika,导演:宫崎骏HayaoMiyazaki主演:岛本须美SumiShimamoto/松田洋治Y...1984/日本/科幻动画奇幻冒险,8.8,188168,动画片的圣经。
108,爱在日落黄昏时/BeforeSunset/日落巴黎(港)/爱在日落巴黎时(台),导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...2004/美国/剧情爱情,8.7,211911,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
109,侧耳倾听/耳をすませば/心之谷/梦幻街少女,导演:近藤喜文YoshifumiKondo主演:本名阳子YoukoHonna/小林桂树K...1995/日本/剧情爱情动画音乐,8.8,181304,少女情怀总是诗。
110,倩女幽魂/倩女幽魂(87版)/AChineseGhostStory,导演:程小东Siu-TungChing主演:张国荣LeslieCheung/王祖贤JoeyW...1987/香港/剧情爱情武侠古装,8.6,274121,两张绝世的脸。
111,红辣椒/パプリカ/盗梦侦探/帕布莉卡,导演:今敏SatoshiKon主演:林原惠美MegumiHayashibara/古谷彻T...2006/日本/动画悬疑科幻惊悚,8.9,145849,梦的勾结。
